text,options,answer,difficulty,category,image
What is 5 squared?,10;15;20;25,25,Easy,EA Basics,
What does EA stand for?,Environment Agency;Energy Alliance;Environmental Association;Earth Authority,Environment Agency,Easy,EA Basics,
What is the EA's main purpose?,Protect environment;Build houses;Sell energy;Manage schools,Protect environment,Easy,EA Basics,
What colour is used for EA branding?,Green;Red;Blue;Yellow,Green,Easy,EA Basics,
Which area does the EA monitor?,Rivers;Space;Hospitals;Roads,Rivers,Easy,Flooding,
EA flood warning service?,Floodline;WaterWatch;StormAlert;RiverSafe,Floodline,Medium,Flooding,
Pollution reports go to…,Incident Hotline;NHS;DVLA;HMRC,Incident Hotline,Medium,Pollution,
EA regulates which sector?,Waste & Industry;Fashion;Gaming;Retail,Waste & Industry,Medium,Regulation,
EA belongs to which department?,DEFRA;NHS;Home Office;DfE,DEFRA,Medium,EA Basics,
EA mission includes…,Protecting people & environment;Selling water;Building dams;Managing Airports,Protecting people & environment,Hard,EA Basics,






